if,then,support,confidence,lift
"knee_l_pain_lowsitting, sex_female",knee_l_pain_walking,0.125,0.896551724137931,3.4533844189016603
"knee_l_pain_lowsitting, urine_normal",knee_l_pain_walking,0.125,0.896551724137931,3.4533844189016603
"knee_r_pain_walking, knee_r_exam_tenderness_knee",knee_r_diag_oa_knee,0.125,0.896551724137931,3.4533844189016603
"knee_r_exam_tenderness_knee, knee_r_reason_natural",knee_r_diag_oa_knee,0.125,0.896551724137931,3.4533844189016603
"knee_r_duration_val, knee_r_diag_oa_knee",knee_r_pain_walking,0.16826923076923078,0.7608695652173914,3.4404536862003785
"knee_l_duration_val, knee_r_diag_oa_knee",knee_l_diag_oa_knee,0.19230769230769232,0.9756097560975611,3.439437784208351
"knee_l_diag_oa_knee, medication_none",knee_l_pain_walking,0.1201923076923077,0.8928571428571429,3.439153439153439
"knee_r_exam_creps_right, knee_r_reason_natural",knee_r_diag_oa_knee,0.15865384615384615,0.8918918918918918,3.435435435435435
"knee_r_pain_walking, urine_normal",knee_r_reason_natural,0.1346153846153846,0.7567567567567567,3.4218566392479435
"knee_l_reason_natural, knee_l_exam_creps_left",knee_l_pain_walking,0.1778846153846154,0.8809523809523809,3.393298059964726
"knee_r_pain_stairclimbing, sex_female",knee_r_reason_natural,0.12980769230769232,0.7500000000000001,3.391304347826088
"tongue_sama, knee_r_reason_natural",knee_r_pain_walking,0.15865384615384615,0.75,3.391304347826087
"knee_r_exam_creps_right, knee_r_diag_oa_knee",knee_r_reason_natural,0.15865384615384615,0.75,3.391304347826087
"medication_none, knee_l_reason_natural",knee_l_diag_oa_knee,0.1201923076923077,0.9615384615384616,3.3898305084745766
knee_l_pain_lowsitting,knee_l_pain_walking,0.13942307692307693,0.8787878787878789,3.3849607182940518
"knee_l_pain_stairclimbing, knee_l_diag_oa_knee",knee_l_pain_walking,0.13942307692307693,0.8787878787878789,3.3849607182940518
"knee_r_exam_creps_right, knee_r_morning_stiffness",knee_r_diag_oa_knee,0.13942307692307693,0.8787878787878789,3.3849607182940518
"knee_l_diag_oa_knee, knee_l_reason_natural",knee_l_pain_walking,0.16826923076923078,0.875,3.3703703703703702
"knee_r_duration_val, knee_r_reason_natural",knee_r_diag_oa_knee,0.16346153846153846,0.8717948717948718,3.3580246913580245
"knee_r_pain_walking, knee_r_pain_stairclimbing",knee_r_diag_oa_knee,0.12980769230769232,0.870967741935484,3.3548387096774195
