if,then,support,confidence,lift
"knee_r_exam_rom, medication_ongoing",knee_l_exam_rom,0.13986013986013987,0.8695652173913044,3.8858695652173916
"knee_r_exam_rom, medication_ongoing","knee_l_exam_rom, knee_present",0.13986013986013987,0.8695652173913044,3.8858695652173916
"knee_l_exam_creps_left, knee_r_exam_rom",knee_l_exam_rom,0.1258741258741259,0.8571428571428572,3.8303571428571432
"knee_r_exam_rom, knee_r_exam_creps_right",knee_l_exam_rom,0.1258741258741259,0.8571428571428572,3.8303571428571432
"knee_l_exam_creps_left, knee_r_exam_rom","knee_l_exam_rom, knee_present",0.1258741258741259,0.8571428571428572,3.8303571428571432
"knee_r_exam_rom, knee_r_exam_creps_right","knee_l_exam_rom, knee_present",0.1258741258741259,0.8571428571428572,3.8303571428571432
"knee_r_duration_val, knee_l_exam_tenderness_knee","knee_l_duration_val, knee_r_exam_creps_right",0.16783216783216784,0.8275862068965518,3.81757508342603
"knee_l_duration_val, knee_r_exam_creps_right","knee_r_duration_val, knee_l_exam_tenderness_knee",0.16783216783216784,0.7741935483870969,3.8175750834260294
"knee_r_duration_val, knee_r_exam_tenderness_knee","knee_l_duration_val, knee_l_exam_tenderness_knee",0.16783216783216784,0.8,3.8133333333333335
"knee_l_duration_val, knee_l_exam_tenderness_knee","knee_r_duration_val, knee_r_exam_tenderness_knee",0.16783216783216784,0.8,3.8133333333333335
knee_r_exam_rom,"knee_l_exam_rom, medication_ongoing",0.13986013986013987,0.7692307692307693,3.7931034482758625
knee_r_exam_rom,knee_l_exam_rom,0.15384615384615385,0.8461538461538461,3.78125
knee_r_exam_rom,"knee_l_exam_rom, knee_present",0.15384615384615385,0.8461538461538461,3.78125
"knee_l_duration_val, knee_r_exam_tenderness_knee","knee_l_exam_creps_left, knee_r_duration_val",0.15384615384615385,0.8461538461538461,3.78125
"knee_l_exam_creps_left, knee_r_exam_tenderness_knee","tongue_sama, knee_r_exam_creps_right",0.18181818181818182,0.8666666666666667,3.7555555555555555
"tongue_sama, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_r_exam_tenderness_knee",0.18181818181818182,0.7878787878787878,3.7555555555555555
"knee_r_exam_rom, medication_ongoing","knee_r_duration_val, knee_r_exam_tenderness_knee",0.1258741258741259,0.7826086956521741,3.7304347826086963
"knee_l_exam_creps_left, knee_l_duration_val","knee_l_exam_tenderness_knee, knee_r_exam_creps_right",0.17482517482517482,0.78125,3.7239583333333335
"knee_l_exam_creps_left, knee_r_duration_val","knee_l_exam_tenderness_knee, knee_r_exam_creps_right",0.17482517482517482,0.78125,3.7239583333333335
"knee_l_exam_creps_left, knee_r_duration_val","knee_r_exam_creps_right, knee_r_exam_tenderness_knee",0.17482517482517482,0.78125,3.7239583333333335
"knee_l_exam_tenderness_knee, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_l_duration_val",0.17482517482517482,0.8333333333333333,3.723958333333333
"knee_l_exam_tenderness_knee, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_r_duration_val",0.17482517482517482,0.8333333333333333,3.723958333333333
"knee_r_exam_creps_right, knee_r_exam_tenderness_knee","knee_l_exam_creps_left, knee_r_duration_val",0.17482517482517482,0.8333333333333333,3.723958333333333
"knee_l_exam_rom, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_l_exam_tenderness_knee",0.1258741258741259,0.8571428571428572,3.7142857142857144
"knee_r_duration_val, knee_l_exam_tenderness_knee","knee_l_exam_creps_left, knee_l_duration_val",0.16783216783216784,0.8275862068965518,3.6982758620689657
