if_symptom,then_suggest,support,confidence,lift
"knee_l_duration_val, knee_r_morning_stiffness","tongue_sama, medication_ongoing, knee_r_duration_val, knee_l_morning_stiffness",0.13286713286713286,0.8260869565217391,6.217391304347826
"knee_l_duration_val, knee_r_morning_stiffness","tongue_sama, knee_r_duration_val, knee_l_morning_stiffness, knee_present",0.13986013986013987,0.8695652173913044,6.217391304347826
"tongue_sama, knee_r_duration_val, knee_l_morning_stiffness","knee_l_duration_val, medication_ongoing, knee_r_morning_stiffness",0.13286713286713286,0.95,6.174999999999999
"knee_l_duration_val, medication_ongoing, knee_r_morning_stiffness","tongue_sama, knee_r_duration_val, knee_l_morning_stiffness, knee_present",0.13286713286713286,0.8636363636363635,6.174999999999999
"knee_l_morning_stiffness_duration, knee_r_duration_val, knee_l_morning_stiffness","medication_ongoing, knee_l_duration_val, knee_r_morning_stiffness",0.11888111888111888,0.9444444444444443,6.1388888888888875
"knee_r_duration_val, sex_female, knee_present, knee_l_exam_rom","knee_l_duration_val, knee_r_exam_rom",0.1258741258741259,0.9,6.128571428571429
"knee_l_duration_val, knee_present, knee_r_exam_rom","knee_r_duration_val, sex_female, knee_l_exam_rom",0.1258741258741259,0.8571428571428572,6.128571428571429
"knee_r_exam_creps_right, knee_l_duration_val, knee_l_exam_rom, knee_r_exam_rom","knee_l_exam_creps_left, knee_r_duration_val, sex_female",0.1048951048951049,0.9375,6.09375
"knee_r_exam_creps_right, knee_r_exam_rom","knee_l_exam_creps_left, knee_r_duration_val, knee_present, knee_l_exam_rom",0.11888111888111888,0.8095238095238095,6.092731829573935
"knee_l_exam_creps_left, knee_r_duration_val, knee_present, knee_l_exam_rom","knee_r_exam_creps_right, knee_r_exam_rom",0.11888111888111888,0.8947368421052632,6.092731829573935
knee_r_pain_walking,"knee_l_pain_walking, knee_present",0.11188811188811189,0.8888888888888888,6.052910052910053
"medication_ongoing, sex_female, knee_l_morning_stiffness, knee_r_morning_stiffness","knee_l_morning_stiffness_duration, knee_r_morning_stiffness_duration",0.11188811188811189,0.8421052631578948,6.021052631578947
"knee_l_exam_creps_left, medication_ongoing, knee_r_duration_val, knee_l_exam_rom","knee_r_exam_creps_right, knee_present, knee_r_exam_rom",0.1048951048951049,0.8823529411764706,6.008403361344538
"knee_l_duration_val, medication_ongoing, knee_present, tongue_sama, knee_r_morning_stiffness","knee_r_duration_val, knee_l_morning_stiffness",0.13286713286713286,1.0,5.958333333333333
"knee_r_duration_val, knee_l_morning_stiffness","knee_l_duration_val, medication_ongoing, knee_r_morning_stiffness",0.15384615384615385,0.9166666666666666,5.958333333333333
"knee_r_duration_val, knee_l_morning_stiffness","knee_l_duration_val, knee_present, knee_r_morning_stiffness",0.16083916083916083,0.9583333333333333,5.958333333333333
"knee_r_duration_val, knee_l_morning_stiffness","tongue_sama, knee_l_duration_val, knee_present, knee_r_morning_stiffness",0.13986013986013987,0.8333333333333334,5.958333333333333
"knee_l_exam_creps_left, knee_l_duration_val, knee_r_duration_val, knee_l_exam_rom","sex_female, knee_r_exam_rom",0.1048951048951049,0.8333333333333333,5.958333333333332
"knee_l_duration_val, knee_r_morning_stiffness","medication_ongoing, knee_r_duration_val, knee_l_morning_stiffness, knee_present",0.15384615384615385,0.9565217391304349,5.947069943289226
